sample,sub,n,LONP1,CLPP,HSPD1,HSPE1,HSPA9,TRAP1,DNAJA3,PHB2,PMPCB,AFG3L2,YME1L1,SPG7,ATF4,ATF5,DDIT3,TFAM,NRF1,PPARGC1A,POLRMT,FIS1,MFF,DNM1L,MIEF1,MIEF2,MFN1,MFN2,OPA1,PINK1,PRKN,THOP1,TIMM13,NDUFA11,SHMT2,MTHFD2,fission,fusion,proteostasis
GSM6360683_N_2,4,607,0.13420035,0.3356042,1.2300398,1.5939114,0.714514,0.24709892,0.11783361,0.70408577,0.23708601,0.36119622,0.555904,0.24983102,0.5536341,0.18157618,0.20911999,0.35955426,0.032476347,0.017508315,0.09725219,0.7838725,0.26775005,0.25478923,0.084904686,0.02064555,0.14080277,0.15439725,0.12832093,0.15086515,0.0034194617,0.10444919,0.7568822,1.074292,0.18320906,0.19791748,0.5258113,0.14117365,0.8242337
GSM6360683_N_2,5,250,0.12113904,0.18102881,0.56967324,0.9452633,0.34904402,0.11399,0.06561991,0.41454408,0.09380765,0.16976814,0.3328923,0.116911426,0.32452273,0.10895441,0.17279592,0.17357601,0.0028195782,0.0047775577,0.028407421,0.85518605,0.23539527,0.18422838,0.06000542,0.003704787,0.14986622,0.063778594,0.051136963,0.1920982,0.0,0.028420921,0.38729876,0.86065376,0.055230603,0.08892057,0.54529065,0.0882606,0.43179986
GSM6360683_N_2,8,128,0.21731284,0.2436827,0.99355906,1.3095981,0.76637805,0.21852385,0.13344413,0.5298926,0.22380558,0.3751563,0.6782179,0.3552095,0.8628573,0.30143043,0.22439688,0.3577966,0.046697587,0.14414765,0.120634496,0.6897634,0.30563352,0.3117031,0.10264094,0.026409505,0.17782947,0.17201956,0.24072918,0.21147048,0.020793695,0.08077287,0.355089,0.80332327,0.095222436,0.25851235,0.49769846,0.1968594,0.70634836
GSM6360683_N_2,13,238,0.098933965,0.28950343,1.3992597,1.5684658,0.70507187,0.21225725,0.15396906,0.85123384,0.29217458,0.39948663,0.48179793,0.19733979,0.7614417,0.09727446,0.2315384,0.50465894,0.041864388,0.0,0.09178035,0.7886805,0.27581683,0.33486298,0.11827605,0.07242515,0.15013151,0.13191241,0.15289252,0.172615,0.013338942,0.06297345,0.6797242,1.1867387,0.18422817,0.052227918,0.5322487,0.14497882,0.8349116
GSM6360683_N_2,17,107,0.122910015,0.20419072,0.9420193,1.2319729,0.53190166,0.10851931,0.11603876,0.21459986,0.1504005,0.14605431,0.42522427,0.24217379,0.47473404,0.1252459,0.09333886,0.2172883,0.08900704,0.02235037,0.060986836,0.55764335,0.22172955,0.18889728,0.02202682,0.09057331,0.19275329,0.07174306,0.12866655,0.12265289,0.010473292,0.11004413,0.19370316,0.5622062,0.007719944,0.18030801,0.38968644,0.1310543,0.6037208
GSM6360683_N_2,18,90,0.17343247,0.41036564,0.8588205,1.4836465,0.6674907,0.21537395,0.108162984,0.5457944,0.29802075,0.2251612,0.5572428,0.21527691,0.6437291,0.3054843,0.26314744,0.40760946,0.035275407,0.102287315,0.08205064,0.8554715,0.28623912,0.17520319,0.06550249,0.03020703,0.08303345,0.10700942,0.18825357,0.21786167,0.009110987,0.052228678,0.53278583,1.0935413,0.13989472,0.19431967,0.57085526,0.12609881,0.7271395
GSM6360684_HSIL_1,5,168,0.07948481,0.18588392,0.5753183,1.0056174,0.24713153,0.08038011,0.078321,0.45551032,0.10029906,0.25525147,0.23903215,0.03680534,0.33255684,0.061420083,0.08759125,0.19144267,0.018009951,0.020836014,0.043497626,0.6570981,0.15683155,0.12057266,0.048959646,0.023119124,0.07638852,0.008043869,0.031086802,0.04939713,0.0,0.018068055,0.3865336,0.809303,0.024743222,0.06852559,0.40696484,0.0385064,0.41886622
GSM6360684_HSIL_1,7,193,0.1449399,0.25393778,0.87706244,1.1135482,0.63780606,0.28059825,0.13564672,0.5978988,0.3768095,0.3761246,0.5911356,0.4795622,0.5954016,0.13727322,0.24134281,0.43910614,0.085343525,0.09142006,0.10221832,0.69921786,0.28483206,0.35226527,0.117743015,0.07716841,0.21981782,0.14817612,0.24459837,0.23805572,0.026930887,0.062172133,0.49211642,1.0205314,0.110737294,0.12416321,0.49202496,0.20419744,0.63259053
GSM6360684_HSIL_1,17,107,0.23687468,0.16646314,1.2182356,1.2408235,0.55006,0.3323097,0.16537067,0.37395382,0.2636671,0.28605103,0.4330076,0.3557105,0.3156135,0.052323848,0.0773396,0.44244695,0.09477944,0.14067174,0.043068893,0.8691768,0.23801073,0.21152858,0.07271323,0.11010437,0.17877789,0.10697502,0.23342623,0.26413178,0.023641938,0.12311386,0.34625685,0.96291,0.0787015,0.08162146,0.55359375,0.17305972,0.7015784
GSM6360685_HSIL_2,6,2668,0.22176744,0.41742918,1.1527408,1.4748658,0.70153666,0.3880653,0.21466628,0.52695817,0.30005932,0.5189316,0.64085037,0.4304471,0.38849846,0.1404682,0.10128329,0.71442384,0.049631774,0.012776973,0.09418266,0.9067432,0.30080172,0.27295464,0.12936157,0.04732347,0.2571646,0.16047867,0.29185253,0.13873099,0.015346409,0.11216578,0.9047693,1.3526384,0.2643509,0.19588709,0.60377246,0.23649861,0.82692754
