"gene","spearman_rho","p"
"CTXN1",0.303556406076053,1.10518590869707e-07
"NELFA",0.303467628735997,1.11511066283716e-07
"SCLY",0.30326174086225,1.13845898017491e-07
"RTKN",0.303249463145008,1.13986607957267e-07
"RPS15A",0.303117713794606,1.15507110041248e-07
"RHBDD3",0.303010992098581,1.16753066679564e-07
"CDKN2AIPNL",0.302823520800696,1.18973151162288e-07
"SCYL1",0.302712549125626,1.20306394435414e-07
"SURF6",0.302643605021114,1.21141937760287e-07
"SART1",0.30260818852907,1.21573324073937e-07
"URM1",0.30249993211839,1.22901115128397e-07
"UQCRFS1",0.302468411440471,1.23290340362021e-07
"RANGRF",0.302464161461426,1.23342910852959e-07
"FAU",0.302206801619242,1.2656687336645e-07
"PKN1",0.302190273922955,1.26776665119825e-07
"UBE2M",0.302148246352396,1.27311644272013e-07
"SS18L2",0.302119558993841,1.27678059636948e-07
"RPL18",0.30172655398713,1.32801142772844e-07
"CFAP410",0.301568950597535,1.34910695445679e-07
"UXT",0.30156505478341,1.3496324794437e-07
"MYBL2",0.30126472293088,1.39074408939392e-07
"PRMT1",0.301199084365626,1.39988830001555e-07
"POMGNT2",0.301157056795067,1.40577357770986e-07
"TIMM10",0.301079140512571,1.41674753016434e-07
"MRPL20",0.301046557339891,1.42136103958375e-07
"SNHG29",0.301010196408059,1.4265265157781e-07
"DPP9",0.300901113612565,1.44213154996503e-07
"YBEY",0.300891669214686,1.44349033454982e-07
"SPC24",0.300875613738293,1.44580309592418e-07
"NMRAL1",0.300665948105395,1.47633425979519e-07
"ATAD3A",0.300519559938281,1.49801780942162e-07
"POLDIP2",0.300498310043055,1.5011907776253e-07
"IPO4",0.300422754860028,1.51252489255986e-07
"TMEM129",0.300329727540927,1.5265931395293e-07
"PQBP1",0.300305172106443,1.53032753448632e-07
"RPTOR",0.300287227750474,1.53306207173077e-07
"NDUFA2",0.300133638229978,1.55666065499412e-07
"HMBS",0.300055367782562,1.56882071691338e-07
"REX1BD",0.300033173447548,1.57228541553697e-07
"KRIT1",-0.300017590191048,1.57472247365645e-07
"DQX1",-0.300066701060016,1.56705434316246e-07
"CEACAM7",-0.300317922043579,1.5283874261082e-07
"PTPN21",-0.3004326714778,1.51103260980245e-07
"KRT4",-0.300682829966602,1.47385316555707e-07
"ANKRD20A11P",-0.300728753351285,1.46712417887763e-07
"DLEU7",-0.300809148788225,1.45541523457692e-07
"NLRP7",-0.301011258902821,1.42637532067143e-07
"MYOF",-0.301330361496134,1.38165737036667e-07
"VCL",-0.301495638459005,1.35902947299216e-07
"BACH1",-0.301547110427442,1.35205562389929e-07
"FAR1",-0.301583117194353,1.34719761402191e-07
"SLTM",-0.301646748825058,1.33865351852238e-07
"WNT16",-0.301699637453176,1.33159163985959e-07
"AFAP1L2",-0.301829025704109,1.31446607464752e-07
"MAN1A2",-0.301840358981563,1.31297616310572e-07
"PPM1A",-0.301880497672546,1.30771245326524e-07
"MARF1",-0.302058052352659,1.28467090276085e-07
"ATOSA",-0.302060413452128,1.2843671476501e-07
"STX6",-0.302076468928521,1.28230344530234e-07
"STAG1",-0.302178468425607,1.26926721241051e-07
"DUOXA1",-0.302460855922169,1.23383813928424e-07
"UEVLD",-0.302700271408384,1.20454782727332e-07
"ETV3",-0.302868381690618,1.1843822726383e-07
"DPYD",-0.303111220771064,1.15582547809506e-07
"B3GNT5",-0.303358545940503,1.12742296132996e-07
"FRRS1",-0.303394906872334,1.12330439173642e-07
"ZFX",-0.303502100788253,1.11124675405059e-07
"SMG1",-0.30371034976147,1.08817721237259e-07
"IKZF5",-0.303791099363329,1.07935652613294e-07
"CDIN1",-0.303894043300203,1.0682112228764e-07
"VPS4B",-0.304035237048484,1.05310484041711e-07
"ZNF224",-0.304069236880846,1.04949803077967e-07
"PLCL1",-0.304080097938406,1.04834836421557e-07
"SEMA3C",-0.304204291770506,1.03528808738289e-07
"GALNT1",-0.3045617622302,9.98564876165689e-08
"SLC37A2",-0.305090176291492,9.4656896899353e-08
"TMOD3",-0.30513220386205,9.42547314101204e-08
"VSIG10L",-0.305183203610593,9.37689200844478e-08
"CCDC186",-0.305391924803704,9.18057041239595e-08
