lib,term,p,padj,n_overlap,genes
GO_Biological_Process_2023,Insulin Secretion Involved In Cellular Response To Glucose Stimulus (GO:0035773),0.03021603513748301,0.22671140820089972,1,RAB11B
GO_Biological_Process_2023,protein-DNA Covalent Cross-Linking Repair (GO:0106300),0.03021603513748301,0.22671140820089972,1,TEX264
GO_Biological_Process_2023,Polyadenylation-Dependent snoRNA 3'-End Processing (GO:0071051),0.03021603513748301,0.22671140820089972,1,EXOSC4
GO_Biological_Process_2023,Negative Regulation Of Protein Catabolic Process (GO:0042177),0.03103510116204576,0.22671140820089972,2,PHB1;PIN1
GO_Biological_Process_2023,Regulation Of Mitotic Nuclear Division (GO:0007088),0.03318129523359319,0.22671140820089972,2,PDXP;PIN1
GO_Biological_Process_2023,Nucleotide-Excision Repair (GO:0006289),0.03318129523359319,0.22671140820089972,2,XAB2;RAD23A
GO_Biological_Process_2023,Spermidine Metabolic Process (GO:0008216),0.03516340208830281,0.22671140820089972,1,DHPS
GO_Biological_Process_2023,Regulation Of Cyclic-Nucleotide Phosphodiesterase Activity (GO:0051342),0.03516340208830281,0.22671140820089972,1,RACK1
GO_Biological_Process_2023,Folic Acid Transport (GO:0015884),0.03516340208830281,0.22671140820089972,1,SLC19A1
GO_Biological_Process_2023,Negative Regulation Of miRNA-mediated Gene Silencing (GO:0060965),0.03516340208830281,0.22671140820089972,1,ELAVL1
GO_Biological_Process_2023,U4 snRNA 3'-End Processing (GO:0034475),0.03516340208830281,0.22671140820089972,1,EXOSC4
GO_Biological_Process_2023,Histone H2A K63-linked Deubiquitination (GO:0070537),0.03516340208830281,0.22671140820089972,1,BABAM1
GO_Biological_Process_2023,Regulation Of Leukocyte Degranulation (GO:0043300),0.03516340208830281,0.22671140820089972,1,STXBP2
GO_Biological_Process_2023,Regulation Of Lysosome Size (GO:0062196),0.03516340208830281,0.22671140820089972,1,KXD1
GO_Biological_Process_2023,Aldehyde Catabolic Process (GO:0046185),0.03516340208830281,0.22671140820089972,1,PDXP
GO_Biological_Process_2023,Aromatic Compound Catabolic Process (GO:0019439),0.03516340208830281,0.22671140820089972,1,PDXP
GO_Biological_Process_2023,Malate Metabolic Process (GO:0006108),0.03516340208830281,0.22671140820089972,1,MDH2
GO_Biological_Process_2023,rRNA Pseudouridine Synthesis (GO:0031118),0.03516340208830281,0.22671140820089972,1,NHP2
GO_Biological_Process_2023,Regulation Of Golgi To Plasma Membrane Protein Transport (GO:0042996),0.03516340208830281,0.22671140820089972,1,RACK1
GO_Biological_Process_2023,Cyclic Nucleotide Transport (GO:0070729),0.03516340208830281,0.22671140820089972,1,SLC19A1
GO_Biological_Process_2023,Glucose Metabolic Process (GO:0006006),0.036506112141143486,0.227880047718109,2,MDH2;BRAT1
GO_Biological_Process_2023,Positive Regulation Of Proteolysis (GO:0045862),0.036506112141143486,0.227880047718109,2,NDUFA13;STUB1
GO_Biological_Process_2023,Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850),0.036506112141143486,0.227880047718109,2,MAP1S;TACC3
GO_Biological_Process_2023,Response To Retinoic Acid (GO:0032526),0.03764185224291706,0.227880047718109,2,NDUFA13;TMEM161A
GO_Biological_Process_2023,Negative Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001243),0.03879104991994025,0.227880047718109,2,NDUFA13;TMEM161A
GO_Biological_Process_2023,CD40 Signaling Pathway (GO:0023035),0.04008577742562173,0.227880047718109,1,PHB1
GO_Biological_Process_2023,Transcription-Coupled Nucleotide-Excision Repair (GO:0006283),0.04008577742562173,0.227880047718109,1,XAB2
GO_Biological_Process_2023,Translational Termination (GO:0006415),0.04008577742562173,0.227880047718109,1,APEH
GO_Biological_Process_2023,Negative Regulation Of Oxidative Stress-Induced Neuron Death (GO:1903204),0.04008577742562173,0.227880047718109,1,RACK1
GO_Biological_Process_2023,Modification-Dependent Macromolecule Catabolic Process (GO:0043632),0.04008577742562173,0.227880047718109,1,UBA52
GO_Biological_Process_2023,Regulation Of Vesicle Fusion (GO:0031338),0.04008577742562173,0.227880047718109,1,RAB3A
GO_Biological_Process_2023,Cobalamin Transport (GO:0015889),0.04008577742562173,0.227880047718109,1,CD320
GO_Biological_Process_2023,Response To Misfolded Protein (GO:0051788),0.04008577742562173,0.227880047718109,1,STUB1
GO_Biological_Process_2023,Endocytic Recycling (GO:0032456),0.04231775647063989,0.227880047718109,2,VPS51;RAB11B
GO_Biological_Process_2023,Error-Prone Translesion Synthesis (GO:0042276),0.04498328588336053,0.227880047718109,1,POLD2
GO_Biological_Process_2023,Regulation Of Complement Activation (GO:0030449),0.04498328588336053,0.227880047718109,1,PHB1
GO_Biological_Process_2023,Regulation Of Endoplasmic Reticulum Unfolded Protein Response (GO:1900101),0.04498328588336053,0.227880047718109,1,RACK1
GO_Biological_Process_2023,Transferrin Transport (GO:0033572),0.04498328588336053,0.227880047718109,1,RAB11B
GO_Biological_Process_2023,[2Fe-2S] Cluster Assembly (GO:0044571),0.04498328588336053,0.227880047718109,1,FDX2
GO_Biological_Process_2023,Regulation Of Mast Cell Activation Involved In Immune Response (GO:0033006),0.04498328588336053,0.227880047718109,1,STXBP2
GO_Biological_Process_2023,Negative Regulation Of Transcription By Competitive Promoter Binding (GO:0010944),0.04498328588336053,0.227880047718109,1,PHB1
GO_Biological_Process_2023,Regulation Of Myeloid Leukocyte Mediated Immunity (GO:0002886),0.04498328588336053,0.227880047718109,1,STXBP2
GO_Biological_Process_2023,Nuclear mRNA Surveillance (GO:0071028),0.04498328588336053,0.227880047718109,1,EXOSC4
GO_Biological_Process_2023,Nucleobase-Containing Compound Biosynthetic Process (GO:0034654),0.04498328588336053,0.227880047718109,1,POLD2
GO_Biological_Process_2023,Organic Hydroxy Compound Catabolic Process (GO:1901616),0.04498328588336053,0.227880047718109,1,PDXP
GO_Biological_Process_2023,Regulation Of Protein Phosphorylation (GO:0001932),0.04678955171651729,0.227880047718109,4,BRAT1;FKBP8;RACK1;PIN1
GO_Biological_Process_2023,Negative Regulation Of Hydrogen Peroxide-Induced Cell Death (GO:1903206),0.049856051675230315,0.227880047718109,1,RACK1
GO_Biological_Process_2023,Fatty Acid Beta-Oxidation Using acyl-CoA Dehydrogenase (GO:0033539),0.049856051675230315,0.227880047718109,1,GCDH
GO_Biological_Process_2023,TORC1 Signaling (GO:0038202),0.049856051675230315,0.227880047718109,1,MLST8
GO_Biological_Process_2023,Positive Regulation Of Protein Depolymerization (GO:1901881),0.049856051675230315,0.227880047718109,1,PDXP
GO_Biological_Process_2023,Regulation Of Mitochondrial Depolarization (GO:0051900),0.049856051675230315,0.227880047718109,1,RACK1
GO_Biological_Process_2023,Nuclear RNA Surveillance (GO:0071027),0.049856051675230315,0.227880047718109,1,EXOSC4
GO_Biological_Process_2023,"Nuclear-Transcribed mRNA Catabolic Process, Exonucleolytic, 3'-5' (GO:0034427)",0.049856051675230315,0.227880047718109,1,EXOSC4
GO_Biological_Process_2023,Progesterone Receptor Signaling Pathway (GO:0050847),0.049856051675230315,0.227880047718109,1,PHB1
GO_Biological_Process_2023,Maintenance Of Synapse Structure (GO:0099558),0.049856051675230315,0.227880047718109,1,RAB3A
GO_Biological_Process_2023,Microtubule Anchoring At Centrosome (GO:0034454),0.049856051675230315,0.227880047718109,1,MAP1S
GO_Biological_Process_2023,Purine Ribonucleoside Triphosphate Biosynthetic Process (GO:0009206),0.049856051675230315,0.227880047718109,1,IMPDH2
GO_Biological_Process_2023,Positive Regulation Of MHC Class II Biosynthetic Process (GO:0045348),0.049856051675230315,0.227880047718109,1,RFXANK
GO_Biological_Process_2023,Removal Of Superoxide Radicals (GO:0019430),0.049856051675230315,0.227880047718109,1,PRDX2
GO_Biological_Process_2023,Positive Regulation Of Actin Filament Depolymerization (GO:0030836),0.049856051675230315,0.227880047718109,1,PDXP
GO_Biological_Process_2023,Negative Regulation Of Protein Binding (GO:0032091),0.050987781403003925,0.227880047718109,2,RACK1;PIN1
GO_Biological_Process_2023,Cellular Response To Hypoxia (GO:0071456),0.05227447898601839,0.227880047718109,2,MLST8;STUB1
GO_Biological_Process_2023,Response To Ionizing Radiation (GO:0010212),0.05227447898601839,0.227880047718109,2,BABAM1;BRAT1
GO_Biological_Process_2023,Negative Regulation Of Catabolic Process (GO:0009895),0.05227447898601839,0.227880047718109,2,PHB1;PIN1
GO_Biological_Process_2023,Cellular Response To Decreased Oxygen Levels (GO:0036294),0.05357275145510054,0.227880047718109,2,MLST8;STUB1
GO_Biological_Process_2023,Regulation Of Endocytic Recycling (GO:2001135),0.05470419842989522,0.227880047718109,1,RAB11B
GO_Biological_Process_2023,Regulation Of Endosome Size (GO:0051036),0.05470419842989522,0.227880047718109,1,KXD1
GO_Biological_Process_2023,P-body Assembly (GO:0033962),0.05470419842989522,0.227880047718109,1,LSM4
GO_Biological_Process_2023,Neutrophil Activation Involved In Immune Response (GO:0002283),0.05470419842989522,0.227880047718109,1,STXBP2
GO_Biological_Process_2023,Brain Morphogenesis (GO:0048854),0.05470419842989522,0.227880047718109,1,VPS51
