gene,rho_pb,p_pb,pct_rank_pb,rho_pb_sample_centered,p_pb_sample_centered,detect_frac_epi,bulk_rho_TCGA,on_19p13_3
ZNF595,0.42988095604294196,0.0007577787372091802,0.751909476661952,0.42034513519333105,0.0010191427132961567,0.13249521190393942,-0.0245004208659804,False
FBXO33,0.42988095604294196,0.0007577787372091802,0.751909476661952,0.393460272539912,0.0022464899399749797,0.19324264597555044,-0.1097805003878105,False
CCDC65,0.42987636314377453,0.000757888480325933,0.7517680339462518,0.33206113807373466,0.010879091631230837,0.02072386190639899,,
BCL2L15,0.42975791319326956,0.0007607236965677538,0.7516973125884017,0.23848780337752623,0.07141291589670185,0.2528605804645834,-0.0079737870736886,False
CDS2,0.4297337619900146,0.000761302953679208,0.7516265912305516,0.35587068196499433,0.006113866516962987,0.21956489711733176,-0.1166328832684227,False
ZNF428,0.4296963917684334,0.0007622000488233602,0.7514851485148515,0.4859884954935556,0.00010999149444153926,0.48067573540237174,0.19151987514506,False
SLC26A2,0.4296963917684334,0.0007622000488233602,0.7514851485148515,0.3010550924359408,0.02165214435830498,0.22378824338261757,-0.1761415620797981,False
ERLIN1,0.4296963917684334,0.0007622000488233602,0.7514851485148515,0.3740195022916731,0.0038253871526863414,0.30599616952314923,-0.1994129126168891,False
ZNF225,0.4296440093852469,0.0007634591271002355,0.7513437057991513,0.3052124829251915,0.01982095776517128,0.03309924863723473,-0.201407215283869,False
ISCA1,0.42963487034359715,0.0007636789881128942,0.7512729844413013,0.5029068873235104,5.739551993316701e-05,0.3692972548248973,0.1844780140320141,False
TOMM5,0.42951182749392475,0.0007666446437740715,0.7510961810466761,0.4174536282260297,0.0011130714852250142,0.38732013946860677,0.3274290105930727,False
PSMC4,0.42951182749392475,0.0007666446437740715,0.7510961810466761,0.4406472053892768,0.0005366212330053352,0.5524726219121899,0.1197883746545416,False
CYP20A1,0.42951182749392475,0.0007666446437740715,0.7510961810466761,0.39222984404318806,0.0023256725521145416,0.4876000589303364,0.0013728612865867,False
NKAPD1,0.42951182749392475,0.0007666446437740715,0.7510961810466761,0.41413147128487493,0.0012305464832990125,0.3066345823306921,-0.0332270445055444,False
ETV1,0.42950549555932593,0.0007667975410093667,0.750919377652051,0.315442956813466,0.015866220478305576,0.04851937337327609,-0.0305538076860871,False
USP48,0.42945030606908857,0.0007681313681488839,0.7508486562942008,0.47799071026484974,0.00014785509540608447,0.4722781515493082,-0.1343529347876131,False
GTF2F1,0.42938878464425234,0.0007696206955639819,0.7507779349363508,0.38324771601710295,0.002983081947673996,0.44119235868972206,0.595563966316555,True
SLC16A12,0.4293522293583909,0.0007705068703895264,0.7507072135785007,0.29986018392557245,0.022204237783038344,0.03275548789471151,-0.0960407903544364,False
C19orf44,0.4293338665779981,0.0007709523692866673,0.7506364922206507,0.5517548986434526,7.143618770696627e-06,0.05937239110150902,,
